MDY,SubType,POINT_X,POINT_Y
8/14/1941,PzDiv,32.28404938,53.59414486
7/11/1941,PzDiv,30.08139054,53.05680534
7/11/1941,PzDiv,30.33522398,53.31818810000001
7/11/1941,PzDiv,30.3567813,53.49920304
7/12/1941,PzDiv,30.59177743,53.60121728
7/13/1941,PzDiv,30.65792641,53.60052829
7/15/1941,PzDiv,31.01096024,53.44238033
7/15/1941,PzDiv,31.20646188,53.508560100000004
7/16/1941,PzDiv,31.26164941,53.54499933
7/17/1941,PzDiv,31.71794173,53.69250083
7/19/1941,PzDiv,31.34026436,53.51280007
7/20/1941,PzDiv,31.43935032,53.58092216
7/22/1941,PzDiv,31.4317408,53.57745212
7/24/1941,PzDiv,31.53229051,53.60730536
7/26/1941,PzDiv,31.54335098,53.59755177
7/27/1941,PzDiv,31.75272396,53.69007588
7/27/1941,PzDiv,31.83491396,54.02755144
7/29/1941,PzDiv,31.568507300000004,53.69746074
7/30/1941,PzDiv,31.73336055,53.76749372
8/1/1941,PzDiv,32.48731771,53.83671289
8/2/1941,PzDiv,32.51378554,53.80785666
8/4/1941,PzDiv,32.94560795,54.01213036
8/6/1941,PzDiv,32.47037451,53.94470988
8/10/1941,PzDiv,32.11558491,53.49892246
8/12/1941,PzDiv,32.12683995,53.40013653
8/18/1941,PzDiv,32.52527197,53.40736325
8/20/1941,PzDiv,32.83346477,53.26891915
8/20/1941,PzDiv,32.78227694,52.98228869
8/21/1941,PzDiv,32.76614354,52.97414823
8/21/1941,PzDiv,32.82584938,53.28068132
8/23/1941,PzDiv,32.83598824,53.27494641
8/23/1941,PzDiv,32.78083632,52.96875066
8/24/1941,PzDiv,32.83352876,53.26789291
8/24/1941,PzDiv,32.76646728,52.96495311
7/11/1941,PzDiv,30.33334826,55.09481709
7/12/1941,PzDiv,30.48568395,55.13449123
7/12/1941,PzDiv,30.60465326,55.22906916
7/13/1941,PzDiv,31.49029112,55.28638978
7/15/1941,PzDiv,32.35553004,55.14081499
7/16/1941,PzDiv,32.44066397,55.13056379
7/17/1941,PzDiv,32.43948709,55.10432447
7/19/1941,PzDiv,32.40599268,55.14099711
7/22/1941,PzDiv,32.58838667,55.16360702
7/24/1941,PzDiv,32.59198393,55.1048539
7/26/1941,PzDiv,32.67500513,55.00050212
7/27/1941,PzDiv,32.71613368,54.9393735
7/29/1941,PzDiv,32.65384192,54.98698244
7/30/1941,PzDiv,32.70381286,55.06233479
8/1/1941,PzDiv,32.40007901,53.89384707
8/2/1941,PzDiv,32.69294664,54.99350339
8/6/1941,PzDiv,32.52764907,55.12987645
8/10/1941,PzDiv,32.23490612,54.95024221
8/12/1941,PzDiv,32.23354514,54.96493445
8/18/1941,PzDiv,32.16558429,54.98814347
8/20/1941,PzDiv,32.66952648,55.24508868
8/21/1941,PzDiv,32.53816188,55.29945260000001
8/23/1941,PzDiv,32.50943169,55.19734696
8/24/1941,PzDiv,32.50787936,55.20495831
9/2/1941,PzDiv,32.50573624,55.17720453
9/4/1941,PzDiv,32.53568159,55.17716678
9/6/1941,PzDiv,32.45236804,55.20098673
9/8/1941,PzDiv,32.32387103,55.23753084
9/10/1941,PzDiv,32.33109016,55.12056737
7/11/1941,PzDiv,30.42525056,54.13387181
7/13/1941,PzDiv,31.55956441,54.13655203
